Player,Pos,Squad,90s,Assists,Expected Goals Assists,Expected Assists,Assists Overperformance,Key Passes,Passes into final third,Passes into penalty box,Crosses into penalty box,Progressive passes,Shot-created Actions,Goal-created Actions,Touches in Mid 3rd,Touches in Attacking 3rd,Touches in penalty box,Attempted Take-ons,Take-ons Success %,Carries,Progressive Distance,Progressive Carries,Progressive Passes Received
Naomi Thomas-Chinnama,DF,Melb City,8.6,0,0.1,0.1,-0.1,0.81,5.58,0.35,0.23,4.77,1.28,0.12,41.9,12.1,0.58,1.51,53.8,43.7,105.2,1.16,0.58
Jordan Thompson,DF,Sydney,15.5,0,0.01,0.01,-0.01,0.32,2.84,0.06,0,2.71,1.03,0.13,20.5,3.55,1.42,0.26,50,24.9,81.8,0.39,0.45
Teagan Thompson,"DF,MF",Brisbane,8.2,0,0.05,0.11,-0.05,0.73,2.93,1.1,0.49,3.66,1.1,0,24.4,10.7,0.61,1.1,22.2,23,75.2,1.83,2.07
Natalie Tobin,DF,Sydney,0.6,0,0,0,0,0,1.67,0,0,8.33,5,1.67,33.3,6.67,3.33,3.33,50,43.3,91.7,0,0
Zoe Tolland,DF,Adelaide Utd,12.8,0,0.02,0.02,-0.02,0.16,2.66,0.23,0.16,2.89,0.7,0,23.4,7.66,0.63,0.55,14.3,27.7,54.1,1.09,1.02
Ella Tonkin,DF,Adelaide Utd,20.8,0.05,0.02,0.01,0.02,0.14,1.68,0,0,2.16,0.43,0.05,19.8,1.59,0.67,0.24,60,34.8,77.8,0.14,0.14
Kaitlyn Torpey,"DF,MF",Melb City,11.8,0.25,0.27,0.25,-0.02,1.61,3.98,1.69,0.51,5.85,3.14,0.34,27.8,25.3,3.39,2.37,42.9,39,114.8,3.05,6.95
Peta Trimis,"MF,FW",Central Coast Mariners,11.8,0,0.12,0.08,-0.12,0.76,1.78,0.68,0.25,2.37,1.44,0,15.7,13.8,3.98,2.46,48.3,21,61.3,1.95,5.42
Tori Tumeth,DF,Sydney,21.2,0.05,0.1,0.12,-0.06,0.71,3.77,0.57,0.28,3.92,1.89,0.05,26.2,15.5,1.13,0.75,50,17.2,38.5,0.94,1.7
Leia Varley,DF,Melb City,2.2,0,0.05,0.09,-0.05,0.91,7.27,0.45,0.45,8.64,2.73,0,45,15,1.36,1.36,66.7,60.9,144.5,2.27,2.27
Cortnee Vine,FW,Sydney,15.7,0.38,0.36,0.25,0.03,2.8,1.85,1.91,0.19,4.08,4.97,0.57,15.7,32.2,9.11,5.03,44.3,28.2,100.6,4.78,11
Tyla-Jay Vlajnic,"DF,FW",Western United,14.6,0.14,0.15,0.16,-0.01,1.58,2.74,0.96,0.34,3.63,3.15,0.27,25.4,21.8,1.23,0.96,35.7,25.1,56.1,1.37,4.38
Maruschka Waldus,DF,Adelaide Utd,18.8,0,0.01,0.01,-0.01,0.16,2.77,0.21,0.05,2.82,0.69,0,22.8,1.7,0.64,0.16,0,36.9,96,0.27,0.05
Jazmin Wardlow,DF,Central Coast Mariners,20.3,0.05,0.04,0.05,0,0.44,3.05,0.39,0.1,3.79,1.18,0.15,24.2,8.18,1.38,0.59,33.3,26,57,0.79,0.89
McKenzie Weinert,"FW,MF",Melb Victory,16.7,0.06,0.12,0.09,-0.06,0.96,1.38,0.78,0.36,2.16,2.69,0.18,13.7,24.1,6.77,2.4,42.5,27.4,73.7,3.05,9.1
Alyssa Whinham,"MF,FW",Wellington Phoenix FC,7.6,0.26,0.22,0.17,0.04,1.84,3.16,0.66,0,3.95,3.82,0.39,25.4,18.3,2.5,4.61,65.7,26.1,79.6,2.76,5.66
Madelyn Whittall,"DF,FW",Canberra Utd,6.4,0.16,0.08,0.13,0.08,0.78,1.88,0.31,0.31,1.88,2.5,0.31,18.8,9.06,0.78,1.41,66.7,20.9,44.8,1.56,3.75
Hannah Wilkinson,FW,Melb City,19.1,0.05,0.16,0.14,-0.11,1.47,0.89,0.68,0.05,2.09,1.99,0.1,11.3,15.4,5.45,0.99,36.8,17,25.5,0.89,5.08
Lydia Williams,GK,Melb Victory,10.5,0,0,0,0,0,0.19,0,0,0,0.19,0,0.38,0,0,0,,15.1,33.3,0,0
Grace Wilson,GK,Adelaide Utd,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,13.3,36.7,0,0
Josephine Wilson,DF,Newcastle,5.9,0,,,,,,,,,,,,,,,,,,,
Grace Wisnewski,MF,Wellington Phoenix FC,1.3,0,0,0,0,0,0.77,0,0,2.31,0,0,15.4,8.46,0.77,0,,6.15,6.15,0,1.54
Briana Woodall,MF,Central Coast Mariners,0.3,0,,,,,,,,,,,,,,,,,,,
Alicia Woods,"MF,FW",Brisbane,6.5,0.31,0.11,0.05,0.2,1.38,2.62,1.08,0,5.08,2.31,0.31,26,11.8,0.92,2,61.5,26.5,65.2,1.38,1.08
Fiona Worts,FW,Sydney,5.1,0,0.06,0.1,-0.06,0.78,2.35,0.59,0.2,3.33,2.75,0.2,13.7,23.3,7.25,2.35,41.7,23.5,41,2.16,6.27
Tameka Yallop,"MF,FW",Brisbane,18,0.28,0.17,0.1,0.11,1.39,3.5,1.28,0.33,4.78,3.83,0.39,21.1,19.4,3.22,2.33,42.9,29.1,90.1,2.89,4.44
Talia Younis,MF,W Sydney,5.3,0.19,,,,,,,,,,,,,,,,,,,
Catherine Zimmerman,"FW,DF",Western United,1.4,0,0.29,0.21,-0.29,1.43,2.14,1.43,0.71,2.14,6.43,0.71,15,37.1,6.43,1.43,50,32.9,88.6,5,11.4
Paige Zois,MF,Melb Victory,6.8,0.44,0.07,0.07,0.37,1.03,2.65,0.44,0,2.94,1.47,0.44,22.8,8.38,0.29,0.59,25,17.1,27.4,0.29,1.62
