Player;Pos;90s;Touches;Received passes;Touches per received pass;Progressive passes
Isaac Hayden;MF,DF;11.1;41.44;21.8;1.9;0.81
Hwang Hee-chan;FW,MF;10.9;40.64;30.83;1.32;1.19
Jordan Henderson;MF;16.4;85.3;66.4;1.28;6.04
Jeff Hendrick;MF;0.8;40;28.75;;1.25
Wayne Hennessey;GK;2;43.5;11.5;;0
Rico Henry;DF;15.8;47.91;27.22;1.76;2.97
Son Heung-min;FW,MF;16.5;50.85;35.03;1.45;1.94
Ki-Jana Hoever;DF;2.2;59.55;29.55;;2.73
Rob Holding;DF;3.6;51.94;29.44;;1.94
Mason Holgate;DF;6.8;48.24;19.56;;2.06
Callum Hudson-Odoi;FW,MF;8.7;46.78;35.86;1.3;2.99
Will Hughes;MF;5.5;52.73;30.55;;2.73
Pierre Højbjerg;MF;16.9;80.59;57.81;1.39;6.04
Adam Idah;FW,MF;5;37.6;26.2;;1.4
Kelechi Iheanacho;FW,MF;6.6;43.03;31.97;;3.03
Danny Ings;FW;12.3;27.89;17.07;1.63;1.38
Alex Iwobi;MF,FW;7.9;42.03;30.13;1.39;2.78
Daniel James;FW,MF;13.1;32.6;22.6;1.44;2.06
Daniel James;FW;1.4;37.86;24.29;;0
Reece James;DF;12.4;83.55;56.45;1.48;5.73
Vitaly Janelt;MF,DF;13.3;52.33;30.08;1.74;4.21
Pontus Jansson;DF;20.9;51.87;29.09;1.78;1.72
Mathias Jensen;MF;8.4;59.4;35.83;1.66;3.57
Gabriel Jesus;FW;14.4;51.67;40.83;1.27;2.85
Raúl Jiménez;FW;17.3;43.53;32.49;1.34;1.62
Joelinton;MF,FW;14.5;52.62;33.1;1.59;2.83
Ben Johnson;DF;8.9;64.38;32.36;1.99;3.37
Curtis Jones;MF;4.6;73.04;60.65;;1.96
Phil Jones;DF;1;60;39;;4
Jorginho;MF;15.3;78.69;59.28;1.33;5.03
Diogo Jota;FW;16.1;42.98;32.86;1.31;2.92
Mathias Jørgensen;DF;4.8;66.04;30.83;;2.71
Ozan Kabak;DF;8.2;51.22;33.17;1.54;1.46
Christian Kabasele;DF;2.3;55.65;36.52;;0.87
Hassane Kamara;DF;1;67;29;;3
Harry Kane;FW;15.9;39.12;29.81;1.31;2.52
N'Golo Kanté;MF;9.5;71.68;54;1.33;6.42
Edo Kayembe;MF;1;71;39;;2
Moise Kean;FW;0;0;0;;0
Michael Keane;DF;19;49.05;25.63;1.91;2.58
Naby Keïta;MF;5.9;68.14;48.47;;5.93
Caoimhín Kelleher;GK;2;47;27;;0
Jonjoe Kenny;DF;2;43.5;20;;2
Max Kilman;DF;20;56.85;36.6;1.55;3
Joshua King;FW;15.1;33.38;23.25;1.44;1.26
Mateusz Klich;MF;11.5;52.26;37.57;1.39;4.43
Robin Koch;DF,MF;4;41.25;17.5;;1.5
Sead Kolašinac;DF;1;27;7;;0
Ibrahima Konaté;DF;7;68.43;44.43;1.54;3.86
Ezri Konsa;DF;18;42.78;25.78;1.66;1.17
Cheikhou Kouyaté;MF;14.7;49.32;24.22;2.04;2.31
Mateo Kovačić;MF;11.4;77.54;58.6;1.32;5.79
Emil Krafth;DF;6;42.33;22.5;;1.5
Alex Král;MF;0;0;0;;0
Tim Krul;GK;19;40.68;18.21;;0
Juraj Kucka;MF;14;46;21.86;2.1;2.5
Alexandre Lacazette;FW,MF;9.6;39.06;28.85;1.35;2.5
Adam Lallana;MF;15.2;63.62;45.86;1.39;3.22
Tariq Lamptey;DF,FW;7.9;60.89;41.27;1.48;2.53
Manuel Lanzini;MF,FW;8.6;70.81;50.47;1.4;4.07
Aymeric Laporte;DF;17.1;94.44;76.67;1.23;5.85
Jamaal Lascelles;DF;16;41.81;21.75;1.92;1
Pierre Lees-Melou;MF;12.9;50.85;32.4;1.57;4.03
Aaron Lennon;MF,FW;3;31;19;;1.33
Bernd Leno;GK;3;33;13.67;;0
Jamal Lewis;DF;2.9;48.97;22.41;;1.38
Victor Lindelöf;DF;13.1;60.69;38.63;1.57;1.91
