Player;Position;Minutes played;Assists per 90;xA per 90;Key passes per 90;Passes per 90;Accurate passes, %;Progressive passes per 90;Accurate progressive passes, %;Accurate passes to final third, %;Dribbles per 90;Successful dribbles, %;Offensive duels won, %;Defensive duels won, %;PAdj Sliding tackles;PAdj Interceptions
S. Sherring;LCB;787;0;0;0;35.57;80.06;8.92;76.92;60.98;0.46;100;46.15;66.67;0.17;7.71
H. Holgate;LCB;483;0;0;0;41.37;83.78;9.32;58;47.62;0;0;66.67;68.97;0.8;6.11
B. Clements;LB;361;0;0.01;0;39.39;75.32;8.98;75;65.52;1.25;80;60;54.76;1.18;10.66
B. Knight;RAMF;367;0;0.04;0.25;26.73;82.57;3.92;75;62.5;3.43;21.43;19.57;47.37;0.38;1.92
A. Assal;RAMF;1626;0.06;0.13;0.61;15.83;86.71;1.05;73.68;63.64;3.65;59.09;36.32;67.53;0.51;3.23
J. Smith;RAMF;1441;0.12;0.13;0.19;22.3;75.07;3.93;74.6;65.22;7.06;55.75;41.57;50.52;0;2.76
C. Morton;CF;1466;0.18;0.11;0.43;16.33;76.32;2.03;39.39;63.16;3.62;44.07;29.06;59.26;0;3.3
J. Kerr;RCB;258;0;0;0;53.02;76.97;9.77;50;47.62;0;0;75;84.85;0;10.2
K. Watts;LCB;1280;0;0.03;0;45.98;85.32;11.81;80.95;65.49;0.14;100;55.56;67.24;0.12;6.02
S. McLoughlin;RCMF;1469;0.06;0.09;0.12;28.12;75.6;5.51;81.11;65.93;1.84;53.33;40.7;57;0.62;4.86
C. Blackett-Taylor;RW;601;0.3;0.23;1.05;20.67;68.84;3.29;63.64;40;9.43;68.25;48.62;63.89;0.23;2.71
C. Doyle;LCB;2192;0.04;0;0.04;39.91;79.12;10.06;65.31;52.98;1.56;52.63;45.45;67.74;0.82;7.57
D. Neill;LDMF;2072;0.3;0.1;0.61;40.83;84.57;7.91;81.32;72;2.35;62.96;48.41;58.17;1.17;4.2
D. Cirkin;LB;1153;0.16;0.07;0.23;31.22;71.75;7.96;52.94;55.38;2.65;61.76;53.93;51.65;0.47;10.39
E. Embleton;AMF;1250;0.22;0.13;0.43;34.06;78.01;4.54;71.43;59.02;3.46;54.17;39.05;56.25;0.51;2.47
P. Osew;RB;698;0.13;0.06;0.39;20.37;69.62;4.26;63.64;52.17;3.48;62.96;44.07;51.06;0.41;6.53
J. Rudoni;LAMF;1528;0.06;0.09;0.29;24.56;74.34;4.06;66.67;69.81;3.53;56.67;42.37;70.45;0.61;6.05
E. Chislett;AMF;507;0;0.01;0.18;22.19;84.8;2.84;68.75;70;3.02;47.06;35;65.52;1.84;3.68
N. Guinness-Walker;LB;1354;0;0.07;0.2;30.04;73.67;6.85;65.05;57.14;2.39;50;41.43;56.04;0.69;8.81
C. Alexander;RB;972;0;0.12;0.56;37.69;76.9;10.74;81.03;70.67;2.59;57.14;44.19;58.73;0.69;8.16
L. McCormick;AMF;1559;0.29;0.14;0.69;22.75;73.1;4.85;72.62;62.5;1.73;36.67;39.33;71.23;0.7;3.05
G. Marsh;LDMF;309;0;0;0;36.12;72.58;5.83;50;50;0.58;50;47.37;80.77;2.07;5.17
H. Lawrence;RB;1189;0.08;0.06;0.23;35.05;76.24;8.02;63.21;57.14;3.03;67.5;58.11;70.51;0.79;5.86
W. McDonald;LWF;847;0.11;0.08;0.53;20.83;68.88;2.98;82.14;66.67;7.65;56.94;42.25;51.72;0;2.48
S. Robertson;RCMF;1291;0;0.04;0.14;37.58;83.3;5.51;69.62;60.56;3.63;55.77;40.32;67.5;0.81;4.53
J. McEachran;RCMF;825;0;0.01;0;56.4;87.23;7.96;64.38;78.33;1.64;33.33;28.95;60.32;0.67;6.54
F. Draper;CF;364;0;0;0;9.64;82.05;2.72;63.64;100;2.72;36.36;30.3;60;0.42;3.75
A. Scully;LWF;1439;0.19;0.25;0.94;28.39;78.85;4.13;86.36;59.57;4.5;41.67;34.81;52.5;0.17;2.83
C. Thompson;RCMF;1709;0;0.1;0.26;21.17;70.15;5.27;77;58.42;1.95;59.46;47.46;55.56;0.23;4.67
T. Eyoma;LCB;991;0;0.01;0;46.04;87.38;8.63;58.95;66.67;1;45.45;31.25;75.95;0.24;6.85
C. Johnson;RB;1426;0;0.06;0.25;37.74;75.92;8.52;67.41;49.02;1.7;62.96;48.53;61.9;0.27;7.16
T. Bloxham;CF;922;0.1;0.06;0.49;19.13;57.65;3.71;68.42;31.82;5.37;52.73;36.29;53.7;0.53;3.55
J. Malcolm;CF;330;0;0;0;10.36;60.53;1.91;71.43;25;4.09;53.33;26.19;66.67;0;1.82
J. Trafford;GK;1087;0;0;0;19.95;81.74;7.2;81.61;62.75;0;0;66.67;100;0;5.48
Y. Amankwah;LCB;1124;0;0;0;29.63;72.97;8.17;55.88;62.5;1.36;47.06;47.5;64.29;0.37;8.78
L. Jephcott;CF;1496;0.24;0.06;0.36;21.3;75.99;2.83;72.34;62.22;1.44;50;25.95;71.05;0.09;3.75
M. Luongo;RCMF;416;0;0.05;0.22;37.64;75.86;6.92;84.38;65.71;2.6;75;60;73.33;3.33;9.63
M. Cooper;GK;2364;0;0;0;22.35;85.52;4.84;67.72;45.61;0;0;0;50;0;2.69
T. Taylor;RCMF;530;0;0.05;0.17;41.09;80.58;6.45;81.58;58;1.7;60;50;62.16;0.54;10.27
M. Nottingham;CB;2328;0;0.03;0.12;28.99;76.27;8.12;69.52;60.65;0.58;60;39.58;73;0.72;8.98
C. Bishop;CF;2060;0.13;0.06;0.39;21.15;73.35;1.18;85.19;44.74;1.09;36;26.26;61.36;0.42;2.22
M. Clark;RWB;529;0;0.05;0.34;27.05;62.89;6.98;78.05;42.86;1.7;70;61.54;62.07;1.86;7.17
R. Sykes;RCB;2110;0.09;0.05;0.3;34.76;70.8;11.64;73.63;56.65;0.81;63.16;44.68;66.67;1.35;10.72
D. Wheeler;RCMF;699;0;0.01;0;20.73;68.94;5.15;77.5;58.14;0.52;100;34.78;62.3;0.87;5.03
H. Rodgers;LCB;1090;0.08;0.02;0.08;24.19;67.58;5.53;64.18;39.62;0.41;60;26.32;71.74;1.61;5.83
T. Savin;GK;1266;0;0.01;0.07;16.64;81.62;8.53;88.33;69.77;0.07;100;66.67;0;0;4.47
S. O'Keefe;RCMF;1371;0;0.02;0;18.97;73.7;3.87;61.02;60;1.31;65;51.67;62.5;0.78;4.4
G. Garner;CF;1695;0.05;0.03;0.21;22.57;79.29;2.71;72.55;63.16;3.19;51.67;27.8;54.44;0.59;1.76
C. Hayes;LW;341;0;0.02;0;11.88;71.11;1.32;80;50;7.65;55.17;43.48;58.06;0;3.25
S. Morris;RW;943;0;0.05;0.48;18.04;65.08;2.58;62.96;50;7.64;60;46.67;54.24;0.14;3.51
C. Johnston;RB;402;0;0.02;0;43.88;75.51;10.75;72.92;60.47;1.79;62.5;47.06;64;0;7.81
J. Lundstram;RCMF;600;0;0.04;0.15;33.6;80.8;4.65;67.74;67.74;3.15;52.38;41.07;69.23;0.85;2.98
R. Edmondson;CF;338;0;0;0;16.51;66.13;0.8;66.67;33.33;2.13;37.5;26.32;44.44;0.45;1.36
J. Matete;DMF;1477;0;0.01;0;35.95;85.42;4.87;70;69.32;3.05;70;53.69;64.18;0.99;5.37
G. Nurse;LCB;2052;0.04;0.04;0.04;34.12;66.45;9.56;67.89;48.45;1.49;76.47;60.29;65.61;0.65;5.8
J. Daniels;RWB;425;0;0;0;27.11;77.34;6.78;75;64.71;1.91;44.44;44;56;1.1;5.78
R. Pyke;CF;611;0;0.17;0.44;16.06;75.23;2.06;57.14;53.85;2.65;44.44;29.82;55.17;1.36;3.12
N. Ogbeta;LWB;1474;0.06;0.07;0.31;21.31;78.22;3.24;64.15;73.68;4.46;58.9;47.79;50;0.08;5.4
R. Curtis;LAMF;2113;0.13;0.13;0.38;21.72;66.08;3.28;79.22;50.79;4.77;51.79;33.82;57.23;1.35;3.63
H. Knibbs;RW;319;0;0;0;11;66.67;1.41;0;40;0.85;33.33;30;55.88;0.38;7.5
R. Hackett-Fairchild;LWB;1214;0;0.08;0.3;26.1;71.02;5.34;66.67;55.32;4.15;53.57;34.15;56.6;0.74;6.54
J. Okedina;RCB;907;0;0;0;26.3;76.6;6.25;58.73;47.92;0.4;50;40;77.27;0.25;5.42
A. Gilbey;RCMF;1519;0.06;0.09;0.18;29.57;77.56;5.51;67.74;61.96;4.74;61.25;51.88;59.8;1.28;4.38
G. Sithole;CF;425;0;0.03;0.21;9.53;62.22;1.06;20;66.67;2.33;45.45;26.92;68.75;0;1.36
H. Lintott;RB;386;0;0.03;0.23;22.85;54.08;5.13;63.64;36.36;5.6;58.33;51.61;58.62;0.67;3.03
D. Tutonda;LB;826;0;0.02;0.22;23.43;73.95;5.01;69.57;51.22;0.76;57.14;33.33;69.23;1.52;8.43
B. Watson;RCMF;646;0;0.01;0;45.28;88.62;7.8;75;83.72;0.42;100;54.55;60;1.49;6.52
S. Twine;AMF;2081;0.26;0.22;0.78;29.71;79.77;5.45;80.95;63.89;3.81;55.68;46.58;58.16;0;3.03
W. O'Hora;RCB;2250;0;0;0;48.48;88.61;8.88;68.02;72.09;0.24;50;33.33;68.07;0.32;7.82
H. Darling;CB;1930;0;0;0;53.11;88.32;6.34;57.35;52.81;0.61;76.92;54.84;66.22;0.94;6.89
J. Tucker;LCB;2061;0;0.01;0.09;26.55;72.2;8.21;60.11;48.05;0.66;73.33;55.56;72.43;0.44;7.9
J. Davison;CF;758;0;0.01;0;17.1;73.61;1.31;63.64;53.85;1.78;46.67;24.76;57.58;0.71;2.5
C. Forino-Joseph;CB;284;0;0;0;19.01;56.67;7.61;58.33;41.67;0.32;0;20;70;0.87;10.87
D. Jaiyesimi;RWB;1202;0.07;0.07;0.6;27.55;64.95;6.89;72.83;55.56;7.79;57.69;44.44;58.33;0.46;6.3
B. Hanlan;CF;1513;0.12;0.09;0.3;10.83;75.82;0.95;81.25;75;4.88;45.12;31.29;55.41;0.17;1.74
L. McNally;RCB;911;0;0.02;0.1;37.64;80.58;8.99;72.53;53.85;0.2;50;50;71.19;0.76;9.24
S. Long;RCB;2325;0;0.07;0.15;35.19;77.67;9.37;71.9;59.17;0.46;91.67;64.71;61.95;0.31;5.96
M. Sykes;RW;1586;0;0.13;0.51;28.88;76.03;3.8;77.61;54.17;3.69;61.54;46.43;61.26;0.18;4.55
P. Lane;RCMF;1243;0.43;0.14;0.94;28.67;74.24;5.07;74.29;51.85;4.56;66.67;53.38;61.84;0.31;5.24
L. Freestone;LCB;1051;0;0.02;0;36.05;79.1;7.02;60.98;54.35;0.51;100;52.94;64.71;1.3;9.46
T. Cukur;CF;1051;0;0.05;0.34;13.02;67.11;1.63;73.68;50;1.8;33.33;20.9;72.73;0.38;1.27
L. Hasani;RW;257;0;0;0;24.16;69.57;4.2;66.67;46.15;0.7;50;9.09;46.43;0;8.38
R. Williams;RCB;1559;0;0;0;38.22;79.61;10.28;62.92;56.6;0.29;100;46.88;73.63;0.17;7.89
L. Gibson;LCB;1115;0;0.02;0.08;29.62;75.2;8.39;73.08;65.08;1.53;52.63;39.13;66.67;0.65;9.75
N. Delfouneso;RCMF;260;0;0.01;0;22.85;84.85;1.38;75;66.67;1.38;100;64.71;50;0;8.13
L. Jones;GK;582;0;0;0;16.86;86.24;5.57;80.56;68.75;0;0;0;0;0;1.1
D. Adeniran;RCMF;1254;0;0;0.07;24.69;82.56;3.23;68.89;76.19;2.37;51.52;39.02;63.16;1.29;6.67
J. Olowu;LB;996;0;0;0;32.44;75.77;9.31;66.02;46.84;0.99;72.73;40.74;55.07;0.83;7.23
J. Ayunga;RWF;1147;0;0.06;0.08;13.42;62.57;1.8;69.57;57.14;6.59;51.19;35.16;65.93;0.81;3.84
M. Mancienne;RCMF;701;0;0.01;0.13;21.31;77.71;3.85;70;60;0.13;100;40;62.96;2.41;5.78
R. Cooney;RB;1190;0.08;0.05;0.61;32.75;73.44;9;71.43;66.67;1.74;73.91;53.85;63.7;0.61;6.94
C. Jones;DMF;805;0;0.04;0;29.07;73.46;6.37;68.42;48.28;1.01;44.44;46.15;69.44;0.4;4.93
B. Horton;LB;827;0.22;0.04;0.11;21.98;64.36;5.99;50.91;35.71;1.74;37.5;20.51;56.41;0.28;8.33
L. Thompson;RCMF;503;0;0.01;0;24.51;81.02;3.76;71.43;62.5;3.76;61.9;50;55.81;0.32;8.06
J. Dixon;GK;2162;0;0;0;32.3;90.85;6.29;82.12;49.06;0;0;0;77.78;0.2;2.52
T. Bola;LWB;221;0;0;0;17.92;63.64;4.48;72.73;36.36;2.85;42.86;27.27;61.9;0;5.08
L. Gordon;LB;987;0.09;0.05;0.73;40.58;81.8;8.75;65.63;78.57;1.91;66.67;48.21;68.18;0.74;4.29
O. Afolayan;LAMF;2125;0.04;0.18;0.8;27.15;76.13;4.91;70.69;61.76;9.66;55.26;45.27;58.44;0.35;3.81
M. Williams;LCB;793;0;0.02;0.34;43.92;79.33;10.55;62.37;45.45;1.25;72.73;64.52;71.01;0.34;6.44
L. Offord;RCB;2092;0;0;0;47.97;82.06;11.23;68.58;63.39;0.77;55.56;38.6;68.37;0.25;8.94
J. Powell;AMF;892;0.1;0.22;0.5;26.33;76.63;3.73;89.19;61.9;4.84;43.75;43.4;54.88;0.13;3.35
R. Harper;RCMF;725;0;0;0;36.37;89.76;4.72;84.21;75.61;2.61;71.43;52;77.78;0.85;4.01
R. Tunnicliffe;RCMF;1242;0.29;0.03;0.36;40.22;82.16;6.45;80.9;70.53;0.8;63.64;34.78;59.42;1.6;4.9
A. MacDonald;RCMF;689;0.13;0.07;0.26;25.08;69.27;5.62;69.77;61.11;2.74;57.14;39.58;82.5;0.45;4.9
W. Jääskeläinen;GK;1193;0;0;0;15.62;89.37;4.07;85.19;62.96;0;0;100;25;0.11;2.14
B. Sass-Davies;CB;1031;0.09;0.04;0.17;39.37;82.04;9.25;63.21;54.1;0.17;50;58.33;66.04;0.56;7.57
T. Hamer;LB;2155;0.04;0.1;0.42;29.61;70.94;7.81;73.8;56.64;2.13;47.06;37.63;51.03;1.78;8.5
M. O'Riley;RCMF;2254;0.16;0.16;0.64;51.71;86.95;7.03;78.41;72.11;3.15;45.57;34.94;61.48;0.45;7.68
