Team;xG for;xG against;Penalties;Penalties conceded;Goals;Goals conceded
Than Quang Ninh;0.97;1.61;0;0;1;2
Hoang Anh Gia Lai;2.26;1.68;2;1;4;3
Nam Dinh;1.68;2.26;1;2;3;4
Thanh Hoa;0.79;0.62;0;0;1;1
Ho Chi Minh City;0.62;0.79;0;0;1;1
Song Lam Nghe An;1.58;1.39;0;1;2;0
Becamex Binh Duong;1.39;1.58;1;0;0;2
Hai Phong;0.51;0.51;0;0;0;0
Da Nang;0.51;0.51;0;0;0;0
Sai Gon;1.19;1.64;0;1;1;0
Hong Linh Ha Tinh;1.64;1.19;1;0;0;1
Topenland Binh Dinh;0.3;1.12;0;0;0;1
Viettel;1.12;0.3;0;0;1;0
Ha Noi;1.01;1.06;0;0;4;0
Than Quang Ninh;1.06;1.01;0;0;0;4
Thanh Hoa;2.12;0.56;0;0;3;0
Hai Phong;0.56;2.12;0;0;0;3
Ho Chi Minh City;2.24;0.76;1;0;3;0
Song Lam Nghe An;0.76;2.24;0;1;0;3
Becamex Binh Duong;1.52;1.74;0;0;4;3
Nam Dinh;1.74;1.52;0;0;3;4
Da Nang;0.26;1.14;0;1;0;2
Hoang Anh Gia Lai;1.14;0.26;1;0;2;0
Than Quang Ninh;1.35;0.54;1;0;1;0
Sai Gon;0.54;1.35;0;1;0;1
Hong Linh Ha Tinh;0.67;0.23;0;0;0;0
Topenland Binh Dinh;0.23;0.67;0;0;0;1
Ha Noi;0.77;1.39;0;0;0;1
Viettel;1.39;0.77;0;0;1;0
Nam Dinh;1.16;0.27;0;0;1;0
Song Lam Nghe An;0.27;1.16;0;0;0;1
Viettel;1.81;0.37;0;0;3;0
Sai Gon;0.37;1.81;0;0;0;3
Than Quang Ninh;0.4;0.43;0;0;1;0
Becamex Binh Duong;0.43;0.4;0;0;0;1
Hong Linh Ha Tinh;1.46;2.12;1;0;3;5
Thanh Hoa;2.12;1.46;0;1;5;3
Hai Phong;0.56;1.04;0;0;0;2
Hoang Anh Gia Lai;1.04;0.56;0;0;2;0
Da Nang;0.9;1.88;0;0;2;0
Ha Noi;1.88;0.9;0;0;0;2
Ho Chi Minh City;1.93;0.84;1;0;1;3
Topenland Binh Dinh;0.84;1.93;0;1;3;1
Thanh Hoa;1.97;1.48;0;0;1;3
Da Nang;1.48;1.97;0;0;3;1
Ha Noi;2.81;0.36;0;0;1;1
Hong Linh Ha Tinh;0.36;2.81;0;0;1;1
Topenland Binh Dinh;0.4;0.85;0;0;0;0
Becamex Binh Duong;0.85;0.4;0;0;0;0
Song Lam Nghe An;0;0;0;0;0;1
Viettel;0;0;0;0;1;0
Hoang Anh Gia Lai;2.66;1.11;1;0;3;0
Ho Chi Minh City;1.11;2.66;0;1;0;3
Hai Phong;0.67;1.8;0;1;0;2
Than Quang Ninh;1.8;0.67;1;0;2;0
Sai Gon;1.51;0.97;0;0;0;3
Nam Dinh;0.97;1.51;0;0;3;0
Than Quang Ninh;0.32;2.4;0;0;2;0
Thanh Hoa;2.4;0.32;0;0;0;2
Becamex Binh Duong;1.84;0.88;1;0;1;0
Sai Gon;0.88;1.84;0;1;0;1
Hong Linh Ha Tinh;1.52;1.48;0;0;1;0
Hai Phong;1.48;1.52;0;0;0;1
Viettel;1.02;0.67;0;0;0;3
Hoang Anh Gia Lai;0.67;1.02;0;0;3;0
Da Nang;1.72;1.21;0;0;1;2
Song Lam Nghe An;1.21;1.72;0;0;2;1
Nam Dinh;1.03;1.31;0;0;1;0
Topenland Binh Dinh;1.31;1.03;0;0;0;1
Ho Chi Minh City;0.67;1.64;0;0;0;3
Ha Noi;1.64;0.67;0;0;3;0
Becamex Binh Duong;0.34;0.34;0;0;0;1
Hai Phong;0.34;0.34;0;0;1;0
Hong Linh Ha Tinh;0.34;0.42;0;0;0;0
Hoang Anh Gia Lai;0.42;0.34;0;0;0;0
Nam Dinh;1.44;1.22;0;0;1;2
Viettel;1.22;1.44;0;0;2;1
Topenland Binh Dinh;1.74;0.2;0;0;1;0
Da Nang;0.2;1.74;0;0;0;1
Ho Chi Minh City;1.17;1.2;1;1;1;0
Sai Gon;1.2;1.17;1;1;0;1
Song Lam Nghe An;1.67;1.15;0;0;1;0
Than Quang Ninh;1.15;1.67;0;0;0;1
Ha Noi;2.35;2.25;0;0;3;2
Thanh Hoa;2.25;2.35;0;0;2;3
Hoang Anh Gia Lai;0.98;1.82;0;0;2;1
Topenland Binh Dinh;1.82;0.98;0;0;1;2
Than Quang Ninh;2.17;1.68;0;0;2;0
Ho Chi Minh City;1.68;2.17;0;0;0;2
Viettel;1.83;0.73;0;0;3;1
Becamex Binh Duong;0.73;1.83;0;0;1;3
Da Nang;0.98;1.31;0;0;1;0
Hong Linh Ha Tinh;1.31;0.98;0;0;0;1
Hai Phong;1.1;2.04;1;0;0;2
Ha Noi;2.04;1.1;0;1;2;0
Thanh Hoa;1.63;0.87;0;0;3;0
Nam Dinh;0.87;1.63;0;0;0;3
Sai Gon;0.62;0.44;0;0;1;0
Song Lam Nghe An;0.44;0.62;0;0;0;1
Thanh Hoa;1.15;1.28;0;0;0;0
Viettel;1.28;1.15;0;0;0;0
Than Quang Ninh;1.18;1.25;0;0;0;1
Da Nang;1.25;1.18;0;0;1;0
Ho Chi Minh City;0.44;1.34;0;0;2;0
